date,cluster,lake,observed,reconstructed,cluster_new
1984-01-01,6,1,nan,1.51E-01,1
1984-02-01,6,1,nan,3.08E-01,1
1984-03-01,6,1,nan,2.26E-01,1
1984-04-01,6,1,nan,1.23E-02,1
1984-05-01,6,1,nan,-2.67E-01,1
1984-06-01,6,1,nan,-5.36E-01,1
1984-07-01,6,1,nan,-7.35E-01,1
1984-08-01,6,1,nan,-7.77E-01,1
1984-09-01,6,1,nan,-6.34E-01,1
1984-10-01,6,1,nan,-3.91E-01,1
1984-11-01,6,1,nan,-1.18E-01,1
1984-12-01,6,1,nan,1.34E-01,1
1985-01-01,6,1,nan,3.18E-01,1
1985-02-01,6,1,nan,3.96E-01,1
1985-03-01,6,1,nan,3.42E-01,1
1985-04-01,6,1,nan,1.57E-01,1
1985-05-01,6,1,nan,-1.18E-01,1
1985-06-01,6,1,nan,-4.08E-01,1
1985-07-01,6,1,nan,-6.24E-01,1
1985-08-01,6,1,nan,-6.88E-01,1
1985-09-01,6,1,-0.48431727,-5.78E-01,1
1985-10-01,6,1,-0.43227124,-3.27E-01,1
1985-11-01,6,1,0.14023517,-8.41E-03,1
1985-12-01,6,1,nan,2.98E-01,1
1986-01-01,6,1,nan,5.24E-01,1
1986-02-01,6,1,nan,6.22E-01,1
1986-03-01,6,1,1.38934,5.68E-01,1
1986-04-01,6,1,0.14023517,3.73E-01,1
1986-05-01,6,1,0.06216611,7.53E-02,1
1986-06-01,6,1,-0.48431727,-2.61E-01,1
1986-07-01,6,1,-0.45829427,-5.37E-01,1
1986-08-01,6,1,-0.48431727,-6.43E-01,1
1986-09-01,6,1,-0.48431727,-5.32E-01,1
1986-10-01,6,1,-0.45829427,-2.46E-01,1
1986-11-01,6,1,0.08818913,1.17E-01,1
1986-12-01,6,1,nan,4.50E-01,1
1987-01-01,6,1,nan,6.75E-01,1
1987-02-01,6,1,nan,7.48E-01,1
1987-03-01,6,1,nan,6.46E-01,1
1987-04-01,6,1,nan,3.88E-01,1
1987-05-01,6,1,-0.43227124,1.59E-02,1
1987-06-01,6,1,-0.48431727,-4.00E-01,1
1987-07-01,6,1,-0.48431727,-7.25E-01,1
